#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
150,8589.5,5.0000,1.55,-65.66
151,8891.4,5.0000,1.49,-69.42
152,9203.9,5.0000,1.41,-73.36
153,9527.3,5.0000,1.31,-77.50
154,9862.1,5.0000,1.14,-81.79
155,10208.7,5.0000,0.94,-86.25
156,10567.4,5.0000,0.70,-90.74
157,10938.8,5.0000,0.41,-95.26
158,11323.2,5.0000,0.10,-99.79
159,11721.1,5.0000,-0.29,-104.27
160,12133.1,5.0000,-0.74,-108.72
161,12559.4,5.0000,-1.20,-113.12
162,13000.8,5.0000,-1.71,-117.35
163,13457.7,5.0000,-2.28,-121.51
164,13930.6,5.0000,-2.84,-125.53
165,14420.2,5.0000,-3.53,-129.37
166,14926.9,5.0000,-4.18,-133.09
167,15451.5,5.0000,-4.85,-136.62
168,15994.5,5.0000,-5.54,-140.09
169,16556.6,5.0000,-6.25,-143.48
170,17138.4,5.0000,-6.97,-146.85
171,17740.7,5.0000,-7.79,-150.00
172,18364.1,5.0000,-8.50,-153.23
173,19009.5,5.0000,-9.28,-156.38
174,19677.5,5.0000,-10.08,-159.58
175,20369.0,5.0000,-10.85,-162.75
176,21084.8,5.0000,-11.70,-166.15
177,21825.8,5.0000,-12.43,-169.34
178,22592.8,5.0000,-13.29,186.99
179,23386.8,5.0000,-14.15,183.10
180,24208.6,5.0000,-15.02,178.86
181,25059.4,5.0000,-15.88,174.35
182,25940.0,5.0000,-16.71,169.32
183,26851.6,5.0000,-17.55,163.70
184,27795.2,5.0000,-18.38,157.40
185,28772.0,5.0000,-19.16,150.42
186,29783.1,5.0000,-19.84,142.68
187,30829.8,5.0000,-20.39,134.59
188,31913.2,5.0000,-20.77,125.71
189,33034.7,5.0000,-20.99,116.63
190,34195.6,5.0000,-20.99,107.88
191,35397.3,5.0000,-20.83,99.31
192,36641.2,5.0000,-20.55,91.18
193,37928.9,5.0000,-20.12,84.13
194,39261.8,5.0000,-19.65,77.96
195,40641.5,5.0000,-19.15,72.33
196,42069.8,5.0000,-18.62,67.42
197,43548.2,5.0000,-18.12,63.24
198,45078.6,5.0000,-17.58,59.45
199,46662.7,5.0000,-17.18,55.67
200,48302.5,5.0000,-16.66,52.55
201,50000.0,5.0000,-16.17,49.69
