#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°),Voltage Gain
96,7943.3,0.4,-27.31,71.87,0.043102256
97,8317.6,0.4,-26.94,72.42,0.044977985
98,8709.6,0.4,-26.57,72.95,0.046935343
99,9120.1,0.4,-26.18,73.39,0.049090788
100,9549.9,0.4,-25.8,73.91,0.051286138
101,10000,0.4,-25.42,74.31,0.053579666
102,10471.3,0.4,-25.05,74.71,0.055911353
103,10964.8,0.4,-24.65,75.05,0.058546374
104,11481.5,0.4,-24.26,75.46,0.061235039
105,12022.6,0.4,-23.9,75.77,0.063826349
106,12589.3,0.4,-23.51,76.04,0.06675749
107,13182.6,0.4,-23.12,76.32,0.06982324
108,13803.8,0.4,-22.72,76.54,0.073113908
109,14454.4,0.4,-22.33,76.74,0.076471569
110,15135.6,0.4,-21.96,76.95,0.079799469
111,15848.9,0.4,-21.57,77.12,0.083464155
112,16595.9,0.4,-21.17,77.23,0.087397699
113,17378,0.4,-20.8,77.34,0.091201084
114,18197,0.4,-20.39,77.42,0.09560927
115,19054.6,0.4,-20,77.46,0.1
116,19952.6,0.4,-19.6,77.52,0.104712855
117,20893,0.4,-19.23,77.46,0.109269763
118,21877.6,0.4,-18.84,77.46,0.114287833
119,22908.7,0.4,-18.45,77.46,0.119536353
120,23988.3,0.4,-18.06,77.35,0.125025903
121,25118.9,0.4,-17.66,77.23,0.130918192
122,26302.7,0.4,-17.28,77,0.136772883
123,27542.3,0.4,-16.87,76.84,0.143383772
124,28840.3,0.4,-16.48,76.66,0.149968484
125,30199.5,0.4,-16.1,76.43,0.156675107
126,31622.8,0.4,-15.69,76.21,0.164247966
127,33113.1,0.4,-15.31,75.95,0.171593171
128,34673.7,0.4,-14.92,75.63,0.179473363
129,36307.8,0.4,-14.54,75.29,0.187499451
130,38018.9,0.4,-14.15,74.93,0.196110118
131,39810.7,0.4,-13.76,74.54,0.205116218
132,41686.9,0.4,-13.37,74.15,0.214535912
133,43651.6,0.4,-12.94,73.78,0.225423921
134,45708.8,0.4,-12.56,73.22,0.235504928
135,47863,0.4,-12.18,72.71,0.24603676
136,50118.7,0.4,-11.8,72.19,0.257039578
137,52480.7,0.4,-11.41,71.56,0.268843784
138,54954.1,0.4,-11.04,70.93,0.280543364
139,57544,0.4,-10.65,70.32,0.29342695
140,60256,0.4,-10.27,69.59,0.306549068
141,63095.7,0.4,-9.91,68.87,0.319521436
142,66069.3,0.4,-9.56,68.06,0.332659553
143,69183.1,0.4,-9.19,67.2,0.347136276
144,72443.6,0.4,-8.82,66.31,0.362242998
145,75857.8,0.4,-8.47,65.47,0.377137745
146,79432.8,0.4,-8.13,64.47,0.392193146
147,83176.4,0.4,-7.78,63.46,0.408319386
148,87096.4,0.4,-7.39,62.5,0.427070919
149,91201.1,0.4,-7.05,61.31,0.444119661
150,95499.3,0.4,-6.72,60.26,0.461317575
151,100000,0.4,-6.39,59.07,0.479181453
